Epochs,Validation Scores,Validation Running Scores,train,train_top5
0,7.941176414489746,,,
1,12.254901885986328,,,
2,15.882352828979492,,,
3,18.13725471496582,,,
4,19.705883026123047,,,
0,,7.941176414489746,,
1,,12.254901885986328,,
2,,15.882352828979492,,
3,,18.13725471496582,,
4,,19.705883026123047,,
0,,,5.2941179275512695,
1,,,46.568626403808594,
2,,,65.686279296875,
3,,,71.66667175292969,
4,,,76.27450561523438,
0,,,,15.588234901428223
1,,,,69.70588684082031
2,,,,85.19607543945312
3,,,,88.72549438476562
4,,,,92.1568603515625
