Epochs,Validation Scores,Validation Running Scores,train,train_top5
0,93.07065217391305,,,
1,95.05434782608695,,,
2,96.0054347826087,,,
3,97.30978260869566,,,
4,97.47282608695652,,,
0,,93.07065217391305,,
1,,95.05434782608695,,
2,,96.0054347826087,,
3,,97.30978260869566,,
4,,97.47282608695652,,
0,,,64.67391304347827,
1,,,81.3586956521739,
2,,,83.88586956521739,
3,,,83.75,
4,,,83.66847826086956,
0,,,,86.38586956521739
1,,,,96.16847826086956
2,,,,96.46739130434783
3,,,,96.11413043478261
4,,,,96.25
