Epochs,Validation Scores,Validation Running Scores,train,train_top5
0,93.07065217391305,,,
1,95.05434782608695,,,
2,96.0054347826087,,,
3,97.30978260869566,,,
4,97.98913043478261,,,
5,98.28804347826087,,,
6,97.41847826086956,,,
7,98.31521739130434,,,
8,98.5054347826087,,,
9,98.26086956521739,,,
10,98.72282608695652,,,
11,98.9945652173913,,,
12,97.41847826086956,,,
13,99.02173913043478,,,
14,99.15760869565217,,,
15,99.2663043478261,,,
0,,93.07065217391305,,
1,,95.05434782608695,,
2,,96.0054347826087,,
3,,97.30978260869566,,
4,,97.98913043478261,,
5,,98.28804347826087,,
6,,97.41847826086956,,
7,,98.31521739130434,,
8,,98.5054347826087,,
9,,98.26086956521739,,
10,,98.72282608695652,,
11,,98.9945652173913,,
12,,97.41847826086956,,
13,,99.02173913043478,,
14,,99.15760869565217,,
15,,99.2663043478261,,
0,,,64.67391304347827,
1,,,81.3586956521739,
2,,,83.88586956521739,
3,,,83.75,
4,,,84.34782608695652,
5,,,86.38586956521739,
6,,,85.48913043478261,
7,,,86.22282608695652,
8,,,87.14673913043478,
9,,,87.17391304347827,
10,,,87.20108695652173,
11,,,87.33695652173913,
12,,,87.93478260869566,
13,,,87.71739130434783,
14,,,87.98913043478261,
15,,,88.45108695652173,
0,,,,86.38586956521739
1,,,,96.16847826086956
2,,,,96.46739130434783
3,,,,96.11413043478261
4,,,,96.41304347826087
5,,,,97.47282608695652
6,,,,97.30978260869566
7,,,,97.09239130434783
8,,,,97.6086956521739
9,,,,97.20108695652173
10,,,,97.06521739130434
11,,,,97.5
12,,,,97.52717391304348
13,,,,97.09239130434783
14,,,,97.7445652173913
15,,,,97.7445652173913
