Epochs,Normal Epoch Times,PAI Epoch Times
0,28.156967878341675,
1,25.68673610687256,
2,25.53336763381958,
3,25.509037733078003,
4,25.86571192741394,
5,25.951677322387695,
6,25.880982398986816,
7,25.874860048294067,
8,25.655604600906372,
9,25.914384841918945,
10,25.68150806427002,
11,26.04512047767639,
12,25.584839344024658,
13,25.577871799468994,
14,25.867856740951538,
15,26.046738386154175,
16,26.027676343917847,
17,26.281136512756348,
18,26.028005599975586,
19,25.94967770576477,
20,25.884297609329224,
21,26.222381114959717,
22,25.766340255737305,
23,26.09738516807556,
